OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
00-0000,All Occupations,total,"132,588,810",0.1,22.33,"46,440",0.1,8.74,10.90,16.87,27.34,42.47,"18,190","22,670","35,080","56,860","88,330",,
11-0000,Management Occupations,major,"6,542,950",0.2,53.15,"110,550",0.1,22.28,32.05,45.96,66.45,#,"46,340","66,660","95,600","138,220",#,,
11-1000,Top Executives,minor,"2,278,260",0.2,58.18,"121,010",0.1,21.46,32.14,48.22,75.55,#,"44,630","66,850","100,310","157,150",#,,
11-1010,Chief Executives,broad,"248,760",0.6,85.77,"178,400",0.3,36.07,53.18,82.50,#,#,"75,030","110,610","171,610",#,#,,
11-1011,Chief Executives,detailed,"248,760",0.6,85.77,"178,400",0.3,36.07,53.18,82.50,#,#,"75,030","110,610","171,610",#,#,,
11-1020,General and Operations Managers,broad,"1,973,700",0.3,55.81,"116,090",0.2,22.21,31.82,46.36,70.84,#,"46,190","66,190","96,430","147,350",#,,
11-1021,General and Operations Managers,detailed,"1,973,700",0.3,55.81,"116,090",0.2,22.21,31.82,46.36,70.84,#,"46,190","66,190","96,430","147,350",#,,
11-1030,Legislators,broad,"55,800",1.3,*,"39,320",1.0,*,*,*,*,*,"16,620","17,950","20,620","56,060","85,460",TRUE,
11-1031,Legislators,detailed,"55,800",1.3,*,"39,320",1.0,*,*,*,*,*,"16,620","17,950","20,620","56,060","85,460",TRUE,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"608,470",0.5,59.92,"124,640",0.3,26.62,36.95,53.55,75.17,#,"55,370","76,860","111,390","156,340",#,,
11-2010,Advertising and Promotions Managers,broad,"28,530",2.7,54.27,"112,870",1.5,21.70,30.95,45.13,69.83,#,"45,140","64,370","93,880","145,250",#,,
11-2011,Advertising and Promotions Managers,detailed,"28,530",2.7,54.27,"112,870",1.5,21.70,30.95,45.13,69.83,#,"45,140","64,370","93,880","145,250",#,,
11-2020,Marketing and Sales Managers,broad,"526,220",0.5,60.88,"126,640",0.3,27.09,37.66,54.61,76.66,#,"56,340","78,340","113,590","159,460",#,,
11-2021,Marketing Managers,detailed,"174,010",0.8,64.28,"133,700",0.4,30.98,42.37,59.24,79.93,#,"64,440","88,130","123,220","166,250",#,,
11-2022,Sales Managers,detailed,"352,220",0.7,59.21,"123,150",0.3,25.85,35.52,52.18,74.56,#,"53,770","73,880","108,540","155,090",#,,
11-2030,Public Relations and Fundraising Managers,broad,"53,730",1.2,53.49,"111,260",0.6,25.65,34.54,47.45,66.21,88.60,"53,360","71,830","98,700","137,710","184,290",,
11-2031,Public Relations and Fundraising Managers,detailed,"53,730",1.2,53.49,"111,260",0.6,25.65,34.54,47.45,66.21,88.60,"53,360","71,830","98,700","137,710","184,290",,
11-3000,Operations Specialties Managers,minor,"1,582,020",0.3,54.88,"114,160",0.2,27.26,36.45,49.60,67.36,89.03,"56,710","75,820","103,170","140,110","185,180",,
11-3010,Administrative Services Managers,broad,"269,500",0.6,43.36,"90,190",0.3,21.56,29.42,39.57,53.13,69.76,"44,850","61,200","82,310","110,500","145,100",,
11-3011,Administrative Services Managers,detailed,"269,500",0.6,43.36,"90,190",0.3,21.56,29.42,39.57,53.13,69.76,"44,850","61,200","82,310","110,500","145,100",,
11-3020,Computer and Information Systems Managers,broad,"319,080",0.9,63.74,"132,570",0.4,36.74,46.56,59.59,75.27,#,"76,420","96,850","123,950","156,560",#,,
11-3021,Computer and Information Systems Managers,detailed,"319,080",0.9,63.74,"132,570",0.4,36.74,46.56,59.59,75.27,#,"76,420","96,850","123,950","156,560",#,,
11-3030,Financial Managers,broad,"499,320",0.5,60.89,"126,660",0.3,29.48,39.32,54.18,74.02,#,"61,320","81,780","112,700","153,970",#,,
11-3031,Financial Managers,detailed,"499,320",0.5,60.89,"126,660",0.3,29.48,39.32,54.18,74.02,#,"61,320","81,780","112,700","153,970",#,,
11-3050,Industrial Production Managers,broad,"165,340",0.6,47.78,"99,370",0.3,26.56,33.86,43.65,56.77,73.36,"55,250","70,430","90,790","118,090","152,590",,
11-3051,Industrial Production Managers,detailed,"165,340",0.6,47.78,"99,370",0.3,26.56,33.86,43.65,56.77,73.36,"55,250","70,430","90,790","118,090","152,590",,
